Member_number,Date,itemDescription
4771,06-03-2014,Abacela Wines
4917,02-12-2014,A&D Singular
3578,10-09-2014,Adirondack Wines
2532,21-09-2014,A Blooming Hill 2009 Pinot Noir
2091,18-01-2014,Adelsheim Caitlin’s Reserve Chardonnay (all vintages)
1661,21-01-2014,A Blooming Hill 2009 Chardonnay
3517,24-10-2014,A&D Monólogo Avesso P67
4138,24-08-2014,A Grower's Touch Durif
1312,02-09-2014,A Blooming Hill 2009 Chardonnay
4678,13-03-2014,A Grower's Touch Chadronnay
1040,24-10-2014,A&D Monólogo Sauvignon Blanc P704
4094,21-10-2014,AA Badenhorst Family Wines
4584,29-08-2014,A Grower's Touch Chadronnay
1696,23-08-2014,Adelsheim Elizabeth Reserve Pinot Noirs (2008 and earlier)
1553,23-07-2014,A&D Monólogo Avesso P67
4272,10-05-2014,Adelsheim Elizabeth Reserve Pinot Noirs (2008 and earlier)
4066,07-08-2014,Airlie Riesling
1602,15-03-2014,A&D Monólogo Avesso P67
2595,18-08-2014,A Blooming Hill 2008 Mingle
2440,22-06-2014,Abacela Wines
1764,03-01-2014,Albet i Noya Reserva Martí
4505,24-06-2014,A Blooming Hill 2009 Pinot Gris
2643,12-12-2014,Adrice 2017 Alma Albariño
2907,15-10-2014,A&D Monólogo Avesso P67 Essência
2479,18-11-2014,Aces 2010 Seven Deuce White
4071,16-12-2014,Ad Hoc 'Mixmaster' Blended Red
4939,08-01-2014,A Grower's Touch Durif
3756,15-11-2014,Alasia Brachetto d’Acqui DOCG
4024,30-03-2014,Adrice 2016 La Montagna Nebbiolo
4132,04-11-2014,A Blooming Hill 2008 Pinot Noir
3256,17-10-2014,A&D Quinta Dos Espinhosos
2396,10-05-2014,A Blooming Hill 2009 Chardonnay
2471,12-08-2014,A Blooming Hill 2009 Pinot Gris
1248,14-08-2014,A Blooming Hill 2008 Mingle
3957,03-10-2014,A Blooming Hill 2009 Pinot Noir
4347,09-07-2014,A Grower's Touch Chadronnay
3840,11-01-2014,A Gust of Sun 2010 Niagara
3864,30-12-2014,A Blooming Hill 2009 Pinot Gris
3918,06-12-2014,A Blooming Hill 2008 Mingle
3539,27-08-2014,Adair 2011 Landmark White
4676,13-11-2014,Adelsheim Elizabeth Reserve Pinot Noirs (2008 and earlier)
1589,11-01-2014,Ad Hoc 'Nitty Gritty' Pinot Grigio
4415,14-07-2014,A Blooming Hill 2009 Chardonnay
1597,23-12-2014,A Blooming Hill 2009 Pinot Gris
2743,12-05-2014,A Grower's Touch Durif
3646,26-05-2014,Achard-Vincent
2796,18-04-2014,A Blooming Hill 2009 Pinot Gris
4638,03-11-2014,African Horizon Cape Red
2501,05-06-2014,A Blooming Hill 2009 Pinot Gris
3082,07-09-2014,A Blooming Hill 2008 Mingle
3942,07-03-2014,Adair 2011 Landmark White
1602,02-08-2014,Adair 2012 Black Currant Kir Rouge
4668,04-05-2014,A Gust of Sun (except 2010 Niagara)
4661,30-05-2014,Adler Fels
1889,16-11-2014,A&D Monólogo Sauvignon Blanc P704
1097,26-11-2014,Adair Black Currant Kir
3033,25-09-2014,A Blooming Hill 2009 Pinot Gris
2251,06-02-2014,A Grower's Touch Chadronnay
4957,15-05-2014,Abbazia Prosecco Spumante
2751,04-06-2014,Aces 2009 Seven Deuce Red
2141,23-02-2014,A&D Monólogo Avesso P67
3667,15-04-2014,A Portela Mencía
2531,24-08-2014,Aces 2010 Flush Bush
1785,25-05-2014,Ad Hoc 'Avant Gardener' Cabernet Malbec 
3330,19-08-2014,A Blooming Hill 2008 Mingle
2048,17-12-2014,A Blooming Hill 2009 Pinot Noir
3337,19-08-2014,A Grower's Touch Chadronnay
3749,10-12-2014,A Blooming Hill 2009 Chardonnay
4190,30-12-2014,Aces 2010 Seven Deuce White
1136,15-07-2014,A&D Monólogo Sauvignon Blanc P704
4797,11-02-2014,A Grower's Touch Chadronnay
1224,31-08-2014,Adastra 2011 Merlot
3903,16-04-2014,A Gust of Sun 2010 Niagara
1803,25-10-2014,A Grower's Touch Chadronnay
2056,26-12-2014,A Grower's Touch Chadronnay
1852,14-07-2014,Aces 2010 Seven Deuce White
4962,17-10-2014,A Blooming Hill 2008 Pinot Noir
4183,26-03-2014,A Blooming Hill 2009 Pinot Gris
2673,23-04-2014,A&D Monólogo Sauvignon Blanc P704
4348,06-08-2014,A Grower's Touch Chadronnay
2629,26-05-2014,A Blooming Hill 2008 Pinot Noir
1256,14-10-2014,Aces 2009 Pocket Kings Red Wine
1051,13-01-2014,A&D Monólogo Malvasia Fina P70
4014,31-07-2014,A Blooming Hill 2009 Pinot Gris
4078,11-01-2014,Abel Charlot Brut NV
3962,13-12-2014,Adrice 2016 La Montagna Nebbiolo
3182,19-02-2014,A Grower's Touch Durif
1013,28-03-2014,Alasia Roero Arneis DOCG
1913,14-12-2014,A Blooming Hill 2009 Pinot Noir
2694,09-10-2014,A Blooming Hill 2009 Pinot Noir
2952,24-09-2014,Aces 2009 Pocket Kings Red Wine
2849,28-05-2014,A Blooming Hill 2009 Chardonnay
2608,17-10-2014,A&D Singular
1966,23-09-2014,A Blooming Hill 2009 Pinot Noir
2361,15-12-2014,Adair Black Currant Kir
4469,29-11-2014,A&D Monólogo Sauvignon Blanc P704
4910,27-11-2014,Aces 2010 Seven Deuce White
1526,13-07-2014,A&D Monólogo Avesso P67
2772,07-11-2014,A Blooming Hill 2009 Pinot Noir
2059,07-09-2014,A Blooming Hill 2008 Pinot Noir
1793,25-08-2014,A Grower's Touch Durif
4753,01-12-2014,A Blooming Hill 2008 Pinot Noir
4915,11-01-2014,A&D Monólogo Avesso P67
1281,28-07-2014,A Blooming Hill 2009 Pinot Noir
3262,16-04-2014,A Blooming Hill 2009 Chardonnay
4391,23-01-2014,Air Wine
4751,29-11-2014,Albero Monastrell 2013
4643,09-03-2014,A Blooming Hill 2009 Pinot Gris
4015,18-12-2014,A&D Monólogo Malvasia Fina P70
3561,28-12-2014,A Blooming Hill 2009 Pinot Gris
1018,01-10-2014,Ad Hoc 'Avant Gardener' Cabernet Malbec 
1065,23-01-2014,A&D Monólogo Malvasia Fina P70
4779,07-05-2014,A Blooming Hill 2009 Chardonnay
4615,29-10-2014,A Blooming Hill 2008 Pinot Noir
4522,27-05-2014,A Blooming Hill 2009 Pinot Gris
2207,09-04-2014,A Blooming Hill 2009 Pinot Noir
3866,19-08-2014,Adastra 2012 Chardonnay
2530,30-10-2014,A&D Monólogo Arinto P24
1189,23-02-2014,A Blooming Hill 2008 Mingle
4499,25-06-2014,Aces 2010 Seven Deuce White
4828,26-08-2014,Adnams Wine
1738,15-07-2014,A&D Monólogo Chardonnay P706
1587,15-05-2014,A Blooming Hill 2009 Pinot Noir
4206,27-11-2014,Adnams Wine
3118,07-11-2014,A Blooming Hill 2009 Pinot Gris
4462,28-03-2014,Agripunica Samas
2872,06-08-2014,Adastra 2011 Ed's Red
1791,05-08-2014,A&D Quinta Dos Espinhosos
2809,01-04-2014,Ad Hoc 'Mixmaster' Blended White
2568,22-12-2014,AA Badenhorst Family Wines
3758,16-07-2014,Aceviño Rosé
4237,20-05-2014,A&D Quinta Dos Espinhosos
4779,15-06-2014,A Grower's Touch Chadronnay
3575,16-11-2014,A&D Liv Rosé
2097,28-09-2014,A Blooming Hill 2009 Pinot Noir
3573,13-10-2014,Aces 2010 Flush Bush
2425,11-11-2014,A Blooming Hill 2009 Pinot Noir
1115,03-08-2014,A Blooming Hill 2009 Pinot Gris
3518,10-08-2014,Adastra 2011 Pinot Noir
3073,06-07-2014,A Portela Mencía
1654,07-06-2014,A Blooming Hill 2008 Pinot Noir
2343,06-04-2014,Adrice 2016 La Montagna Nebbiolo
4499,20-12-2014,A Portela Mencía
3910,30-12-2014,Achard-Vincent
3893,08-01-2014,Adrice 2015 Etouffant Red Mountain Merlot
2713,07-11-2014,Abacela Wines
4510,12-03-2014,A Grower's Touch Chadronnay
1466,25-04-2014,A&D Monólogo Sauvignon Blanc P704
4636,28-07-2014,Aces 2010 Seven Deuce White
1554,23-05-2014,A Blooming Hill 2009 Chardonnay
3039,20-08-2014,Ad Hoc 'Middle of Everywhere' Shiraz
4124,31-05-2014,A Portela Mencía
1533,15-03-2014,Adair Kir Peche
4110,03-12-2014,Adelsheim Elizabeth Reserve Pinot Noirs (2008 and earlier)
3042,14-09-2014,A Blooming Hill 2009 Pinot Gris
4915,28-06-2014,A Blooming Hill 2009 Pinot Gris
3271,20-11-2014,Aces 2010 Seven Deuce White
1245,27-09-2014,Abacela Wines
4915,20-02-2014,A&D Monólogo Avesso P67 Essência
4062,27-11-2014,A&D Monólogo Avesso P67
3687,01-10-2014,A Blooming Hill 2009 Pinot Noir
3020,13-06-2014,A Blooming Hill 2009 Pinot Noir
2388,20-02-2014,A&D Quinta Dos Espinhosos
3896,11-07-2014,Achard-Vincent
1453,13-03-2014,A Grower's Touch Chadronnay
1294,05-07-2014,Agran Araucano Wines
3034,06-10-2014,A&D Monólogo Avesso P67 Essência
1707,22-12-2014,Ad Hoc 'Mixmaster' Blended White
1676,15-05-2014,A Blooming Hill 2009 Pinot Gris
1652,15-03-2014,A&D Monólogo Sauvignon Blanc P704
1573,18-05-2014,A&D Singular
3712,14-08-2014,Albet i Noya Cava Brut Nature
3045,15-06-2014,Acacia Wine
1827,01-09-2014,Aces 2010 Seven Deuce White
4860,13-01-2014,A&D Singular
4353,12-07-2014,A Blooming Hill 2008 Mingle
4782,12-10-2014,A Blooming Hill 2008 Pinot Noir
1687,31-07-2014,A Gust of Sun (except 2010 Niagara)
1421,26-12-2014,Ad Hoc 'Mixmaster' Blended Red
1110,13-10-2014,A&D Monólogo Arinto P24
2838,28-04-2014,Airlie Pinot Noir
3347,21-11-2014,Aces 2010 Seven Deuce White
1159,06-02-2014,Adnams Wine
1309,10-08-2014,Ad Hoc 'Avant Gardener' Cabernet Malbec 
3573,26-08-2014,A&D Monólogo Avesso P67
4673,20-08-2014,A Blooming Hill 2008 Pinot Noir
2898,07-01-2014,A Blooming Hill 2009 Pinot Noir
2820,24-11-2014,A Blooming Hill 2008 Mingle
4250,17-01-2014,A&D Monólogo Avesso P67
3909,13-08-2014,A&D Monólogo Sauvignon Blanc P704
1289,09-08-2014,A&D Monólogo Sauvignon Blanc P704
4561,04-09-2014,A Blooming Hill 2008 Mingle
1618,03-04-2014,Airlie Seven
4987,12-04-2014,A Blooming Hill 2009 Pinot Gris
1053,16-05-2014,Alasia Dolcetto d’Asti DOC
1829,26-02-2014,A&D Monólogo Chardonnay P706
4601,27-03-2014,A&D Monólogo Avesso P67 Essência
3101,02-09-2014,Adrice 2017 Vivant Sauvignon Blanc
4087,04-09-2014,A&D Quinta Dos Espinhosos
3276,08-08-2014,A&D Monólogo Avesso P67 Essência
2901,14-04-2014,Ad Hoc 'Mixmaster' Blended Red
1332,18-04-2014,Ad Hoc 'Wall Flower' Riesling
3368,21-08-2014,A Blooming Hill 2009 Pinot Noir
4450,01-02-2014,A Grower's Touch Durif
2843,14-04-2014,A Blooming Hill 2009 Pinot Noir
3512,19-01-2014,A Blooming Hill 2009 Pinot Gris
2380,21-05-2014,Alasia Moscato Secco IGT Provincia di Pavia
2371,22-05-2014,Adastra 2011 Merlot
1065,05-11-2014,A Blooming Hill 2008 Mingle
1969,10-02-2014,A&D Quinta Dos Espinhosos
2308,13-04-2014,A&D Monólogo Avesso P67
2350,30-05-2014,A Blooming Hill 2009 Pinot Noir
1493,28-01-2014,A&D Monólogo Sauvignon Blanc P704
4036,03-08-2014,A&D Singular
3293,19-01-2014,African Horizon Cape Red
4646,16-01-2014,A Blooming Hill 2008 Pinot Noir
1163,30-04-2014,Adrice 2016 La Montagna Nebbiolo
2273,14-08-2014,A Blooming Hill 2008 Mingle
3384,23-07-2014,Aces 2009 Pocket Kings Red Wine
4940,20-08-2014,Aces 2010 Seven Deuce White
4528,27-06-2014,Airlie Chardonnay
4367,03-10-2014,Adelsheim Stoller Chardonnay (all vintages)
1283,09-02-2014,A Gust of Sun 2010 Niagara
2699,03-12-2014,Adrice 2014 Pardonné Pinot Noir
4483,03-07-2014,A Blooming Hill 2009 Pinot Gris
3841,01-08-2014,Adrice 2015 Alter Ego Washington Cabernet Sauvignon
4495,23-10-2014,A Blooming Hill 2008 Pinot Noir
1565,02-07-2014,Agripunica Samas
3961,18-12-2014,A Blooming Hill 2008 Mingle
2044,26-11-2014,A Blooming Hill 2009 Chardonnay
2961,14-03-2014,A&D Singular
2857,30-05-2014,Adair 2011 Mountain White
1797,31-07-2014,Adair Black Currant Kir
1912,19-10-2014,Abbazia Prosecco Spumante
3515,06-09-2014,A&D Monólogo Sauvignon Blanc P704
1052,13-10-2014,Aces 2010 Seven Deuce White
4888,04-06-2014,Adastra 2012 Chardonnay
2925,01-04-2014,Albet i Noya Cava Brut Nature
4145,17-05-2014,Adastra 2012 Chardonnay
1028,10-11-2014,Aces 2010 Seven Deuce White
3779,27-10-2014,Abel Charlot Brut NV
3890,20-01-2014,Achard-Vincent
3608,16-11-2014,Alasia Dolcetto d’Asti DOC
2828,01-02-2014,Adair 2011 Mountain White
1110,11-12-2014,Aces 2010 Seven Deuce White
2811,22-07-2014,A&D Casa Do Arrabalde
1859,14-01-2014,Aces 2010 Seven Deuce White
1783,12-05-2014,A&D Monólogo Arinto P24
2272,05-06-2014,A Blooming Hill 2008 Pinot Noir
3159,23-07-2014,A Blooming Hill 2009 Pinot Gris
4846,04-12-2014,A Grower's Touch Cabernet Sauvignon
2314,28-07-2014,Adler Fels
2646,23-10-2014,Alasia Brachetto d’Acqui DOCG
2443,04-02-2014,Albet i Noya El Fanio
4979,18-11-2014,A&D Monólogo Chardonnay P706
3176,10-07-2014,A&D Monólogo Arinto P24
3641,01-02-2014,A&D Monólogo Sauvignon Blanc P704
3560,26-11-2014,Albero Monastrell 2013
2956,03-05-2014,A Blooming Hill 2009 Pinot Noir
4009,18-09-2014,Air Wine
4597,17-07-2014,Ad Hoc 'Middle of Everywhere' Shiraz
2438,25-05-2014,A Blooming Hill 2008 Mingle
1189,04-07-2014,Ad Hoc 'Mixmaster' Blended White
4527,22-03-2014,Achard-Vincent
2731,27-08-2014,A Blooming Hill 2008 Pinot Noir
1863,01-06-2014,Ad Hoc 'Mixmaster' Blended White
3532,17-08-2014,A Blooming Hill 2008 Pinot Noir
3309,19-03-2014,A Grower's Touch Durif
1535,08-06-2014,Alasia Brachetto d’Acqui DOCG
2764,30-03-2014,A Blooming Hill 2008 Mingle
4140,29-01-2014,A&D Monólogo Chardonnay P706
2363,03-12-2014,Adrice 2016 La Montagna Nebbiolo
2496,26-11-2014,Airlie Riesling
2814,15-12-2014,A&D Monólogo Sauvignon Blanc P704
1100,18-12-2014,A Blooming Hill 2008 Pinot Noir
2005,22-11-2014,A&D Monólogo Chardonnay P706
2673,16-12-2014,A&D Monólogo Avesso P67
3876,10-12-2014,Adelsheim Elizabeth Reserve Pinot Noirs (2008 and earlier)
3483,19-10-2014,A Grower's Touch Chadronnay
4130,03-08-2014,Adastra 2009 Proximus Merlot
2528,15-03-2014,Adastra 2011 Pinot Noir
4153,27-07-2014,A&D Monólogo Sauvignon Blanc P704
4407,25-12-2014,Aces 2010 Seven Deuce White
2907,17-04-2014,A Grower's Touch Chadronnay
3541,18-03-2014,A Blooming Hill 2009 Pinot Noir
2882,12-12-2014,Adrice 2014 Pardonné Pinot Noir
3507,13-02-2014,Adelsheim Caitlin’s Reserve Chardonnay (all vintages)
3104,22-10-2014,Ad Hoc 'Nitty Gritty' Pinot Grigio
1286,19-07-2014,Ad Hoc 'Mixmaster' Blended White
3756,03-11-2014,A&D Monólogo Avesso P67
2242,01-12-2014,Adnams Wine
4481,11-08-2014,Aces 2009 Seven Deuce Red
4910,26-02-2014,Aces 2009 Seven Deuce Red
1287,07-08-2014,Airlie Seven
3067,17-11-2014,Aces 2007 Pocket Aces Reserve
1204,18-05-2014,A&D Monólogo Sauvignon Blanc P704
4318,27-03-2014,A&D Singular
3218,11-06-2014,Albet i Noya Belat
2772,19-08-2014,Aces 2010 Seven Deuce White
3823,10-12-2014,A Blooming Hill 2008 Pinot Noir
1325,30-04-2014,Alasia Brachetto d’Acqui DOCG
1211,13-12-2014,A&D Liv
1613,17-01-2014,A Blooming Hill 2008 Mingle
3706,17-11-2014,Aces 2007 Pocket Aces Reserve
3435,22-01-2014,A Blooming Hill 2009 Pinot Gris
1828,12-06-2014,AA Badenhorst Family Wines
4204,11-11-2014,Ad Hoc 'Avant Gardener' Cabernet Malbec 
1004,01-07-2014,AA Badenhorst Family Wines
1520,03-06-2014,A Grower's Touch Durif
3031,01-12-2014,A Blooming Hill 2008 Pinot Noir
2450,31-07-2014,Adelsheim Willamette Valley Pinot Noirs (2008 and earlier)
1878,02-01-2014,A&D Monólogo Sauvignon Blanc P704
3012,24-07-2014,A Blooming Hill 2008 Pinot Noir
3484,06-08-2014,A Blooming Hill 2009 Chardonnay
1908,30-05-2014,Abbazia Prosecco Spumante
4126,18-10-2014,Abacela Wines
3359,07-06-2014,Adelsheim Stoller Chardonnay (all vintages)
2747,17-09-2014,A Blooming Hill 2008 Pinot Noir
2467,30-11-2014,Adastra 2012 Chardonnay
4993,15-08-2014,Adastra 2012 Chardonnay
1738,10-08-2014,A Blooming Hill 2008 Pinot Noir
2755,30-10-2014,Adrice 2015 Etouffant Red Mountain Merlot
3035,21-02-2014,Abbazia Prosecco Spumante
4267,12-11-2014,A Blooming Hill 2009 Pinot Noir
1907,20-04-2014,A&D Monólogo Malvasia Fina P70
3568,14-08-2014,Ad Hoc 'Mixmaster' Blended White
1798,29-05-2014,Ad Hoc 'Mixmaster' Blended Red
3289,02-02-2014,Adair Black Currant Kir
4853,20-07-2014,Abbazia Prosecco Spumante
2144,13-05-2014,A&D Quinta Dos Espinhosos
2079,26-08-2014,Acacia Wine
3689,10-09-2014,A&D Singular
4913,06-11-2014,A Blooming Hill 2009 Pinot Noir
3830,01-04-2014,Adelsheim single vineyard Pinot Noirs (all vintages)
2829,07-07-2014,A&D Quinta Dos Espinhosos
4138,07-10-2014,Adrice 2015 Etouffant Red Mountain Merlot
3484,19-11-2014,Adastra 2011 Merlot
2413,16-09-2014,A&D Monólogo Avesso P67
2164,30-09-2014,A&D Quinta Dos Espinhosos
3393,02-07-2014,A Blooming Hill 2008 Pinot Noir
4325,03-03-2014,Adair 2012 Black Currant Kir Rouge
1205,30-04-2014,A Blooming Hill 2008 Pinot Noir
4793,14-12-2014,A&D Quinta Dos Espinhosos
4194,23-02-2014,A&D Monólogo Sauvignon Blanc P704
2018,05-02-2014,A Blooming Hill 2008 Mingle
1881,18-08-2014,Aces 2010 Seven Deuce White
3967,23-01-2014,Adair Black Currant Kir
4305,03-12-2014,A Blooming Hill 2008 Pinot Noir
2637,18-06-2014,A Blooming Hill 2008 Pinot Noir
2631,20-02-2014,Adnams Wine
1630,22-10-2014,A Blooming Hill 2008 Pinot Noir
4860,30-05-2014,A&D Monólogo Arinto P24
2014,07-06-2014,Ad Hoc 'Nitty Gritty' Pinot Grigio
1197,19-03-2014,A Blooming Hill 2009 Chardonnay
1572,31-03-2014,Ad Hoc 'Mixmaster' Blended White
1833,20-10-2014,A Blooming Hill 2009 Pinot Gris
3737,05-09-2014,A Blooming Hill 2009 Pinot Gris
3860,06-10-2014,A Blooming Hill 2009 Pinot Noir
1954,16-08-2014,A&D Monólogo Malvasia Fina P70
1923,02-02-2014,Adair 2011 Mountain White
1052,04-01-2014,A Grower's Touch Durif
2773,30-05-2014,Adrice 2016 Leadfoot Louie
2070,13-04-2014,Albet i Noya Lignum Blanc
2632,10-12-2014,A Blooming Hill 2009 Pinot Gris
4999,19-05-2014,A Blooming Hill 2009 Pinot Gris
3158,04-10-2014,A Grower's Touch Chadronnay
3763,15-07-2014,A Blooming Hill 2008 Mingle
1740,26-07-2014,A Blooming Hill 2008 Mingle
3548,13-03-2014,A Blooming Hill 2008 Mingle
2404,22-10-2014,Aces 2010 Seven Deuce White
2258,19-10-2014,Aces 2010 Seven Deuce White
2795,19-03-2014,A&D Monólogo Sauvignon Blanc P704
1270,12-07-2014,Albet i Noya Pinot Noir Merlot Clàssic
4803,12-01-2014,A&D Monólogo Sauvignon Blanc P704
1542,08-12-2014,A&D Monólogo Malvasia Fina P70
4929,08-05-2014,A Grower's Touch Durif
4620,16-03-2014,A&D Monólogo Sauvignon Blanc P704
2836,06-11-2014,Adair 2011 Mountain White
1692,12-06-2014,Agripunica Samas
4563,20-05-2014,A&D Monólogo Sauvignon Blanc P704
4210,17-03-2014,A Blooming Hill 2008 Mingle
1971,28-05-2014,Adair 2011 Landmark White
1280,13-04-2014,A&D Liv Rosé
2632,22-06-2014,A Grower's Touch Durif
3430,12-08-2014,A Blooming Hill 2008 Mingle
3554,15-01-2014,Adrice 2016 La Montagna Nebbiolo
1924,22-11-2014,A&D Monólogo Sauvignon Blanc P704
1064,21-04-2014,Adair Kir Peche
3208,02-12-2014,A Portela Mencía
1895,06-04-2014,A Blooming Hill 2009 Pinot Gris
1865,17-02-2014,Adastra 2012 Chardonnay
4316,04-08-2014,A Blooming Hill 2008 Pinot Noir
3411,02-05-2014,A Blooming Hill 2009 Pinot Gris
4855,27-08-2014,A Blooming Hill 2008 Pinot Noir
3782,15-01-2014,A Blooming Hill 2009 Chardonnay
4394,13-11-2014,Ad Hoc 'Avant Gardener' Cabernet Malbec 
2112,03-06-2014,Aces 2010 Seven Deuce White
3768,06-01-2014,Ad Hoc 'Nitty Gritty' Pinot Grigio
1109,14-10-2014,Ad Hoc 'Avant Gardener' Cabernet Malbec 
3850,14-06-2014,Adnams Wine
1466,24-05-2014,A&D Monólogo Sauvignon Blanc P704
3785,12-07-2014,A Blooming Hill 2009 Pinot Gris
3116,22-05-2014,Abel Charlot Brut NV
3705,18-05-2014,Aces 2009 Seven Deuce Red
4916,11-01-2014,Aceviño Rosé
3467,20-10-2014,A Grower's Touch Durif
2523,11-10-2014,A Blooming Hill 2009 Chardonnay
2916,12-08-2014,A Blooming Hill 2008 Pinot Noir
3675,15-11-2014,A&D Quinta Dos Espinhosos
1206,03-02-2014,A Blooming Hill 2008 Mingle
1621,28-08-2014,Aces 2009 Pocket Kings Red Wine
2629,09-07-2014,A Blooming Hill 2008 Mingle
2712,15-08-2014,A Blooming Hill 2009 Pinot Noir
2486,19-04-2014,Ad Hoc 'Avant Gardener' Cabernet Malbec 
3166,03-05-2014,A Blooming Hill 2009 Pinot Gris
3120,02-01-2014,A Grower's Touch Durif
4060,01-10-2014,A Blooming Hill 2009 Pinot Gris
4443,19-10-2014,Aces 2009 Seven Deuce Red
2180,27-09-2014,A Blooming Hill 2009 Pinot Gris
2552,11-07-2014,A Grower's Touch Cabernet Sauvignon
4022,10-07-2014,Albert Heijn Ru­e­da Pala­cio del Al­mi­ran­te
2617,12-08-2014,A&D Monólogo Sauvignon Blanc P704
2937,24-04-2014,A&D Monólogo Avesso P67 Essência
3516,09-09-2014,Alasia Moscato Secco IGT Provincia di Pavia
3582,16-06-2014,A Blooming Hill 2008 Mingle
2022,28-03-2014,Academy Culinary Wine
2345,09-06-2014,Adler Fels
2837,05-11-2014,Alamos Wines
3715,04-04-2014,A Blooming Hill 2008 Pinot Noir
3010,13-06-2014,A&D Quinta Dos Espinhosos
2428,11-02-2014,A&D Monólogo Avesso P67
4512,12-08-2014,A&D Monólogo Sauvignon Blanc P704
1194,16-01-2014,A Blooming Hill 2008 Pinot Noir
2492,14-03-2014,Albero Monastrell 2013
3732,14-07-2014,A Gust of Sun 2010 Niagara
1653,20-12-2014,A Grower's Touch Chadronnay
3117,19-03-2014,Airlie Marechal Foch
1506,25-12-2014,Airlie Marechal Foch
3110,23-07-2014,Aceviño Whites
2274,22-02-2014,A&D Quinta Dos Espinhosos
3074,03-11-2014,Aceviño Whites
4969,09-09-2014,A Blooming Hill 2009 Pinot Gris
2546,04-06-2014,AchA Bianca 2013
4434,30-01-2014,Adelsheim Elizabeth Reserve Pinot Noirs (2008 and earlier)
2931,05-07-2014,A Blooming Hill 2009 Chardonnay
1329,29-01-2014,AA Badenhorst Family Wines
3797,07-09-2014,Airlie Gewürztraminer
1525,13-07-2014,A&D Monólogo Avesso P67 Essência
3704,03-12-2014,A Blooming Hill 2009 Pinot Gris
3221,28-07-2014,Albero Monastrell 2013
1118,02-03-2014,Ad Hoc 'Mixmaster' Blended White
4891,02-06-2014,A&D Liv
2716,03-09-2014,A&D Monólogo Avesso P67
1083,15-07-2014,Ad Hoc 'The Riddler' Sparkling Wine
1345,08-04-2014,Aces 2010 Seven Deuce White
3122,16-04-2014,A Blooming Hill 2009 Pinot Gris
2306,17-03-2014,Adair Kir Peche
1410,26-06-2014,Ad Hoc 'The Riddler' Sparkling Wine
2956,22-07-2014,Aces 2010 Seven Deuce White
4389,22-04-2014,A Gust of Sun (except 2010 Niagara)
4946,24-04-2014,Ad Hoc 'Mixmaster' Blended White
3893,19-05-2014,A Blooming Hill 2009 Chardonnay
3401,17-03-2014,A Blooming Hill 2009 Chardonnay
3082,07-07-2014,A Blooming Hill 2009 Chardonnay
2437,06-07-2014,Aces 2010 Seven Deuce White
3909,16-11-2014,A&D Liv
3207,06-12-2014,A&D Monólogo Arinto P24
4526,19-12-2014,Adastra 2011 Merlot
1288,28-09-2014,A Grower's Touch Chadronnay
1013,17-01-2014,Adair Black Currant Kir
1615,07-06-2014,Aces 2010 Flush Bush
3956,26-10-2014,Adelsheim Elizabeth Reserve Pinot Noirs (2008 and earlier)
1868,19-03-2014,Abel Charlot Brut NV
2863,03-03-2014,A&D Casa Do Arrabalde
3052,26-10-2014,Albet i Noya Fondos
2612,02-06-2014,Adrice 2016 La Montagna Nebbiolo
4362,22-01-2014,Agripunica Samas
4512,28-05-2014,A Blooming Hill 2009 Chardonnay
4176,11-06-2014,A Blooming Hill 2009 Pinot Gris
1766,15-04-2014,Ad Hoc 'Nitty Gritty' Pinot Grigio
4261,29-05-2014,A&D Monólogo Sauvignon Blanc P704
4683,02-03-2014,Adrice 2016 Montepulciano
1443,25-08-2014,A Blooming Hill 2008 Mingle
1692,26-07-2014,Ad Hoc 'Nitty Gritty' Pinot Grigio
2283,22-11-2014,A Grower's Touch Chadronnay
3562,17-12-2014,A Gust of Sun 2010 Niagara
1004,10-06-2014,A Blooming Hill 2009 Pinot Noir
1405,14-05-2014,A Blooming Hill 2009 Pinot Gris
2141,24-04-2014,A Blooming Hill 2009 Pinot Noir
2954,17-07-2014,A&D Monólogo Sauvignon Blanc P704
2230,14-07-2014,Adair 2011 Mountain White
1765,12-06-2014,Adair 2011 Mountain White
4735,27-03-2014,A&D Monólogo Chardonnay P706
3603,20-07-2014,A Blooming Hill 2009 Pinot Gris
1774,10-08-2014,A Blooming Hill 2009 Pinot Gris
4018,30-10-2014,A&D Liv
2437,25-02-2014,A&D Monólogo Arinto P24
2847,28-04-2014,A&D Monólogo Malvasia Fina P70
3832,07-06-2014,Ad Hoc 'Wall Flower' Riesling
4433,19-10-2014,A Blooming Hill 2008 Pinot Noir
2358,26-06-2014,A&D Monólogo Sauvignon Blanc P704
2540,23-07-2014,A Blooming Hill 2008 Pinot Noir
2298,12-04-2014,Adelsheim Elizabeth Reserve Pinot Noirs (2008 and earlier)
4618,28-02-2014,Achard-Vincent
4667,05-03-2014,AA Badenhorst Family Wines
4527,14-10-2014,A Grower's Touch Chadronnay
1521,11-09-2014,A Blooming Hill 2008 Pinot Noir
3403,21-01-2014,A&D Monólogo Arinto P24
3831,29-03-2014,A Blooming Hill 2008 Mingle
3141,04-01-2014,Adnams Wine
2732,04-03-2014,Agala Wine
3905,04-04-2014,Adelsheim Elizabeth Reserve Pinot Noirs (2008 and earlier)
3100,16-04-2014,Adastra 2011 Merlot
1549,17-07-2014,Airlie Pinot Noir
